scientific_name,lifestage,mean_body_mass_kg,min_body_mass_kg,max_body_mass_kg,source
Aptenodytes patagonicus,adult,11.8,9.3,17.3,"https://animaldiversity.org/accounts/Aptenodytes_patagonicus/#:~:text=Their%20documented%20height%20ranges%20from,a%20longer%2C%20more%20slender%20bill."
Aptenodytes forsteri,adult,Emperor penguin,25,45,"https://animaldiversity.org/accounts/Aptenodytes_forsteri/#:~:text=Emperor%20penguins%20weigh%2025%20to,18%20kg%20less%20than%20males."
